t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
6.4,0.0759981940940428,-0.198158680619543,1,0.979407973118342,0.00282298976326472,-0.0170369279147087,0.201151176999405,-2.00299125446184,-3.19294708864188,-3.97889003399521e-17,-0.770327611448747,0.504736644509926,0.200426356019585,-0.316428904217655,-0.121556732916425,-6.50577810844671e-16,0,0,0
6.5,-0.125614657993474,-0.516545573548327,1,0.976705805714161,-0.0416201895196042,0.00106366903746098,0.210505100928176,-2.02652538416747,-3.15934333635335,-1.0648569337994e-16,-0.811161267347508,0.557802352454501,0.203685038872645,-0.152039992244836,0.804749285367729,-6.82159880173871e-16,0,0,0
6.6,-0.328737758551845,-0.82684353903812,1,0.972014570925331,-0.0872257551408016,0.0207501328266242,0.217137683363895,-2.03299336184855,-3.03034289167196,-1.75967814411757e-16,-0.80502488360272,0.579875961776577,0.2046603398304,0.0245156340214477,1.78050305848825,-7.06154499194169e-16,0,0,0
6.7,-0.531607562654585,-1.11932651732398,1,0.965535283173123,-0.131266646496172,0.0407566640596213,0.221019408197965,-2.02129678707948,-2.80284658714114,-2.4743984262066e-16,-0.752341483474817,0.567705966168577,0.203396746495403,0.21082731031707,2.7680134557916,-7.21851518102389e-16,0,0,0
6.8,-0.73236316612047,-1.38415405062223,1,0.957838449893887,-0.171266129813043,0.0599248785038019,0.222760915826908,-1.99059089800678,-2.47772880850821,-3.20042583252705e-16,-0.661086777052685,0.525981033883013,0.200410781489582,0.404243066349209,3.72580419044333,-7.28687764984588e-16,0,0,0
6.9,-0.929072773233366,-1.61178440060746,1,0.949686980873827,-0.205366409415291,0.0775036451654869,0.223410969356227,-1.940305610276,-2.06011989324391,-3.92868334904987e-16,-0.543048120016648,0.464153265072347,0.196516247623016,0.601931885312043,4.61058260330847,-7.26257662689299e-16,0,0,0
7,-1.1197619537689,-1.7934056468608,1,0.941829795717782,-0.232416282020639,0.0932248514851995,0.22416162654537,-1.87016024091478,-1.55947970562743,-4.64976989002045e-16,-0.409428039971787,0.391739980255171,0.192582669354858,0.800947367733748,5.37942691999622,-7.14319285980512e-16,0,0,0
7.1,-1.30244305444981,-1.92136300170913,1,0.934861163442347,-0.251821114543618,0.107183826540412,0.226124652980135,-1.7801718848726,-0.989446898122466,-5.35412517272303e-16,-0.268119952084677,0.315135657497756,0.189360469991442,0.998290690202818,5.99206287303864,-6.92796120082273e-16,0,0,0
7.2,-1.47514513671613,-1.98955968903808,1,0.92916868161887,-0.263292572476518,0.119641736115612,0.230235612702708,-1.67065760607878,-0.367461708877251,-6.03219435992329e-16,-0.123109950460162,0.23667912250861,0.18741523784979,1.19097109215624,6.41309360360793,-6.61774910874023e-16,0,0,0
7.3,-1.63594383710842,-1.99380919972655,1,0.924939504385573,-0.266612528740422,0.130837467822686,0.237247191257041,-1.54223076327274,0.285826295562029,-6.67458879364964e-16,0.0247559796427906,0.155065313478108,0.187137471732838,1.3760624910862,6.61404928703492,-6.21500081264246e-16,0,0,0
7.4,-1.78299058497535,-1.93211852963929,1,0.922185164606644,-0.26146525089026,0.140832366452437,0.247743192269164,-1.39579191257493,0.947341264358721,-7.27223964359537e-16,0.17643654908245,0.0661047614715678,0.188775735236554,1.55075518860818,6.57513422719152,-5.72365232254123e-16,0,0,0
7.5,-1.91454066102869,-1.8048850157257,1,0.920760303788544,-0.247355754576506,0.149374668036172,0.262112193905967,-1.23251481546916,1.5925192820649,-7.81654181959889e-16,0.3331155132014,-0.0365273269582504,0.192453614899074,1.71240196502451,6.28656791735392,-5.14902257535399e-16,0,0,0
7.6,-2.02897963613805,-1.61499342561752,1,0.920369415518869,-0.22363131559223,0.155774005134539,0.280434721438499,-1.05382813601267,2.19635698698461,-8.29948602046069e-16,0.494307527527628,-0.160227183786782,0.198144822065669,1.85855815419751,5.74944105758281,-4.49768584660209e-16,0,0,0
7.7,-2.12484778974986,-1.36780478287471,1,0.920570762424936,-0.189642418116761,0.158817911532646,0.302261634342845,-0.861393439198463,2.73451930242558,-8.71377728841754e-16,0.655533494872985,-0.311181948923864,0.205589560299429,1.98701553640452,4.97603583327541,-3.77733021355459e-16,0,0,0
7.8,-2.20086216897215,-1.07103374218986,1,0.920794398784743,-0.145089950164171,0.156837543258728,0.326325859460401,-0.657080108427741,3.18445142693002,-9.05293889474142e-16,0.80596486680868,-0.489758296470015,0.214152800483806,2.09583008256676,3.98958993888354,-2.99660639243622e-16,0,0,0
